qid,language,level,question,answer
301,Java,Medium,What is the difference between method overloading and method overriding in Java?,Method overloading occurs when two or more methods in the same class have the same name but different parameters. Method overriding occurs when a subclass provides a specific implementation of a method that is already defined in its superclass.
302,Java,Medium,What is the difference between composition and inheritance in Java?,"Composition is a design principle where a class contains an instance of another class, while inheritance is a mechanism where a subclass inherits properties and behaviors from its superclass. Composition promotes code reuse through object aggregation, while inheritance creates a tight coupling between classes."
303,Java,Medium,What is the purpose of the static keyword in Java?,"The static keyword is used to create class-level variables and methods that are shared among all instances of the class. Static variables are initialized only once at the start of the program, while instance variables are initialized separately for each object."
304,Java,Medium,What is the purpose of the final keyword in Java?,"The final keyword is used to declare constants, prevent method overriding, and prevent subclassing. Final variables cannot be reassigned, final methods cannot be overridden, and final classes cannot be subclassed."
305,Java,Medium,What is the purpose of the transient keyword in Java?,The transient keyword is used to indicate that a variable should not be serialized when an object of the class is serialized. Transient variables are not saved as part of the object's persistent state.
306,Java,Medium,What is the purpose of the volatile keyword in Java?,"The volatile keyword is used to indicate that a variable's value may be changed by multiple threads simultaneously. It ensures that all reads and writes to the variable are done directly to main memory, bypassing the thread's local cache."
307,Java,Medium,What is the difference between StringBuffer and StringBuilder in Java?,"StringBuffer is thread-safe, synchronized, and slower, while StringBuilder is not thread-safe, not synchronized, and faster. StringBuffer is used in multi-threaded environments, while StringBuilder is used in single-threaded environments for better performance."
308,Java,Medium,What is the purpose of the clone() method in Java?,"The clone() method is used to create a copy of an object. It performs a shallow copy by default, meaning that only the object's fields are copied, not the objects they reference. To perform a deep copy, you need to override the clone() method to copy the object's internal state."
309,Java,Medium,What is the purpose of the finalize() method in Java?,"The finalize() method is called by the garbage collector before reclaiming the memory occupied by an object. It is used to perform cleanup operations, such as releasing resources or closing connections, before the object is garbage collected."
310,Java,Medium,What is the purpose of the super keyword in Java?,"The super keyword is used to refer to the superclass of the current object. It can be used to access superclass methods, constructors, and instance variables."
311,Java,Medium,What is the difference between abstract classes and interfaces in Java?,"Abstract classes can have both abstract and concrete methods, while interfaces can only have abstract methods. Classes can implement multiple interfaces, but can only extend one abstract class."
312,Java,Medium,What is the purpose of the instanceof operator in Java?,"The instanceof operator is used to test whether an object is an instance of a particular class or interface. It returns true if the object is an instance of the specified type, or false otherwise."
313,Java,Medium,What is polymorphism in Java?,Polymorphism is the ability of a single method to perform different tasks based on the object's type. It allows objects of different classes to be treated as objects of a common superclass.
314,Java,Medium,What is encapsulation in Java?,Encapsulation is the process of bundling data and methods that operate on the data into a single unit called a class. It helps to hide the internal implementation details of a class and protect the data from unauthorized access.
315,Java,Medium,What is the purpose of access modifiers in Java?,"Access modifiers control the visibility and accessibility of classes, methods, and variables in Java. They include public, private, protected, and default (package-private) modifiers."
316,Java,Medium,What is the difference between equals() and == in Java?,"The equals() method compares the contents of two objects for equality, while the == operator compares object references."
317,Java,Medium,What is the purpose of the try-with-resources statement in Java?,"The try-with-resources statement is used to automatically close external resources like files, streams, and database connections when they are no longer needed. It ensures that resources are properly closed even if an exception occurs."
318,Java,Medium,What is the purpose of the Comparable interface in Java?,The Comparable interface is used to define a natural ordering of objects based on their intrinsic properties. It is typically implemented by the class whose objects are being sorted.
319,Java,Medium,What is the purpose of the Comparator interface in Java?,The Comparator interface is used to define custom ordering of objects based on external criteria. It allows you to sort objects in multiple ways without modifying their class definitions.
